LAST SEEN   TYPE      REASON                  OBJECT                                 MESSAGE
47m         Normal    Scheduled               pod/drift-29653000-sjn8w               Successfully assigned pipeline-ml/drift-29653000-sjn8w to k3d-pipeline-ml-server-0
2m55s       Normal    Scheduled               pod/inference-cd464759d-kbk9g          Successfully assigned pipeline-ml/inference-cd464759d-kbk9g to k3d-pipeline-ml-server-0
22m         Normal    Scheduled               pod/drift-29653025-jgg56               Successfully assigned pipeline-ml/drift-29653025-jgg56 to k3d-pipeline-ml-server-0
27m         Normal    Scheduled               pod/drift-29653020-26th8               Successfully assigned pipeline-ml/drift-29653020-26th8 to k3d-pipeline-ml-server-0
23m         Normal    Scheduled               pod/inference-6b5b67999b-blqkg         Successfully assigned pipeline-ml/inference-6b5b67999b-blqkg to k3d-pipeline-ml-server-0
24m         Normal    Scheduled               pod/inference-6b5b67999b-5l7x8         Successfully assigned pipeline-ml/inference-6b5b67999b-5l7x8 to k3d-pipeline-ml-server-0
52m         Normal    Scheduled               pod/drift-29652995-c4v87               Successfully assigned pipeline-ml/drift-29652995-c4v87 to k3d-pipeline-ml-server-0
2m9s        Normal    Scheduled               pod/drift-29653045-fsxcr               Successfully assigned pipeline-ml/drift-29653045-fsxcr to k3d-pipeline-ml-server-0
42m         Normal    Scheduled               pod/drift-29653005-kvct9               Successfully assigned pipeline-ml/drift-29653005-kvct9 to k3d-pipeline-ml-server-0
7m9s        Normal    Scheduled               pod/drift-29653040-wrsrs               Successfully assigned pipeline-ml/drift-29653040-wrsrs to k3d-pipeline-ml-server-0
57m         Normal    Scheduled               pod/drift-29652990-98cjj               Successfully assigned pipeline-ml/drift-29652990-98cjj to k3d-pipeline-ml-server-0
17m         Normal    Scheduled               pod/drift-29653030-hr5bk               Successfully assigned pipeline-ml/drift-29653030-hr5bk to k3d-pipeline-ml-server-0
32m         Normal    Scheduled               pod/drift-29653015-8cm2k               Successfully assigned pipeline-ml/drift-29653015-8cm2k to k3d-pipeline-ml-server-0
